name,street2,city_id,state_id,country_id,country_base_gst_type,gst_category,gst_reg,gst_no,pan,ref,gst_credit,disc,nedisc,adisc,tdisc,section_id,reverse_tax,notify_email,deemed_export,sez,export,tax_exempted,sale_type,sale_sub_type_id,property_account_receivable,property_account_payable,property_payment_term
HLL LIFECARE LTD.,"BELGAUM, DIST.KARNATAKA, ",Bangalore,FALSE,India,FALSE,FALSE,FALSE,,FALSE,9300310,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
HOLY CROSS WELFARE CENTRE,"VIRUDHUNAGAR, , ",Virudhunagar,Tamil Nadu,India,FALSE,FALSE,FALSE,33AAATH1474R1ZC,FALSE,9250355,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
HOLY CROSS WOMEN'S WELFARE CENTRE,"BHAVANISAGAR - 638 451, ERODE DIST., T.N",BHAVANISAGAR,Tamil Nadu,India,FALSE,FALSE,FALSE,33AAATH1239E1Z8,FALSE,9250356,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
HOUSE OF CARTONS (INDIA) PVT.LTD.,"EDAYAR, BINANIPURAM.P.O.,ALUVA",ALUVA,Kerala,FALSE,FALSE,FALSE,FALSE,32AAACH5875K1ZE,AAACH5875K,PA9500415,TRUE,0,0,0,0,FALSE,1,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
HOUSE OF PACKAGING,"MALAYIDAMTHURUTH.P.O.,ALUVA",ALUVA,Kerala,FALSE,FALSE,FALSE,FALSE,32ADNPG8117C1ZX,ADNPG8117C,PA9500416,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
I.L.E. Co.,"EKKATTU THANGAL, CHENNAI-600 032., ",Chennai,Tamil Nadu,India,FALSE,FALSE,FALSE,33AGQPS1310R1ZY,FALSE,9225801,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
I.L.E.CO.  - KOCHI SALE -,"EKKATTU THANGAL, CHENNAI - 600 032, ",Chennai,FALSE,India,FALSE,FALSE,FALSE,33AGQPS1310R1ZY,FALSE,9250408,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
IDEA CELLULAR LIMITED,"VYTTILA.P.O.,KOCHI",Kochi,Kerala,FALSE,FALSE,FALSE,FALSE,32AAACB2100P1Z6,,PA9600439,TRUE,0,0,0,0,FALSE,1,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
IDEAL SUPPORT SERVICES INDIA (P) LTD.,"TOOL JUNCTION, EDAPPALLY,COCHIN","EDAPPALLY, KOCHI.",Kerala,FALSE,FALSE,FALSE,FALSE,,,PA9600432,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
IKON TOURS & TRAVELS,"PALLIMUKKU, COCHIN,",COCHIN,Kerala,FALSE,FALSE,FALSE,FALSE,,ALTPK4964B,PA9600433,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
IMPERIAL CHEM INCORPORATION,"OUTSIDE PANIGATE,VADODARA",Vadodara,Gujarat,FALSE,FALSE,FALSE,FALSE,24AAAFI7110H1ZV,,PA9500480,TRUE,0,0,0,0,FALSE,1,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
IMPERIAL CHEMICAL INDUSTRIES,"MAKSI ROAD,,UJJAIN (M.P)",Ujjain,Madhya Pradesh,FALSE,FALSE,FALSE,FALSE,,,PA9500487,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
IND ROADLINES,"SHIVAGANGA MUTT ROAD, CHAMARAJPET,BANGALORE",Bangalore,Karnataka,FALSE,FALSE,FALSE,FALSE,,AABFI2203E,PA9600435,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDEC UPHOLSTERY,"EDAPPALLY,KOCHI",EDAPPALLY,Kerala,FALSE,FALSE,FALSE,FALSE,,,PA9600438,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDENTA CHEMICALS (INDIA) PRIVATE LTD.,"OFF ANDHERI KURLA ROAD, NEAR WEH METRO,STATION, ANDHERI(W),MUMBAI",Mumbai,Maharashtra,FALSE,FALSE,FALSE,FALSE,27AAACI1397R2ZW,AAACI1397R,PA9500462,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDEX PRINTERS,"EDAPPALLY,KOCHI",Kochi,Kerala,FALSE,FALSE,FALSE,FALSE,32AAKFP7633E1ZB,,PA9600440,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDIA INSULATIONS,"VYTTILA JUNCTION,KOCHI",Kochi,Kerala,FALSE,FALSE,FALSE,FALSE,,,PA9500488,TRUE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDIAN INST.OF SPACE SCIENCE & TECHNOLOG,"TRIVANDRUM - 695 547, , ",Trivandrum,FALSE,India,FALSE,FALSE,FALSE,,FALSE,9100192,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDIAN RARE EARTHS LIMITED,"KOLLAM-691 583., , ",Kollam,FALSE,India,FALSE,FALSE,FALSE,,FALSE,9100184,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDIAN RARE EARTHS LTD.,"UDYOGAMANDAL, COCHIN - 683 501, ",COCHIN,FALSE,India,FALSE,FALSE,FALSE,,FALSE,9100185,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
"INDIAN RARE EARTHS LTD.,","P.B.NO.38, BEACH ROAD, KOLLAM - 691 001, ",Kollam,FALSE,India,FALSE,FALSE,FALSE,,FALSE,9100191,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDIAN SCIENTIFIC COMPANY,"NARAYANA PILLAI STREET, MAYILADUTHURAI-609 001., ",MAYILADUTHURAI,Tamil Nadu,India,FALSE,FALSE,FALSE,33AEKPL5430P1Z6,FALSE,9225300,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDIAN SCIENTIFIC MART,"NADIKULA SAHI, CUTTACK - 753 003, ODISHA",ODISHA,Odisha,India,FALSE,FALSE,FALSE,21CBWPS1704G1ZM,FALSE,9445026,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
INDIAN TELEPHONE INDUSTRIES LTD.,"PALGHAT - 678 623., , ",PALGHAT,FALSE,India,FALSE,FALSE,FALSE,32AAACI4625C3Z6,FALSE,9100190,FALSE,0,0,0,0,FALSE,0,always,FALSE,FALSE,FALSE,FALSE,FALSE,[],121330 Sundry Debtors,114110 Sundry Creditors For Material/Supplies,FALSE
