company_id,default_code,hs_code_Id,product_brand_id,name,uom_id,list_price,standard_price,specific_gravity,uom_po_id,product_type, categ_id ,track_all,type,produce_delay ,taxes_id,supplier_taxes_id,product_min_qty,product_max_qty,RQTY_ qty_multiple,ROUND,LOSSPER,warehouse_id,valuation     ,property_stock_account_input,property_stock_account_output,property_account_income, property_account_expense,cost_method,sale_ok,purchase_ok,status
NICE CHEMICALS PVT. LTD.,RA106,29161110,Purchase,ACRYLIC ACID-99%,KG-LT,217.29,217.29,1.05,LT-1.050,RM,ORGANIC CHEMICALS,Y,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB005,29144900,Purchase,BENZALDEHYDE,KG-LT,135.71,135.71,1.047,LT-1.047,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,100,210,3,5,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB008,29062100,Purchase,BENZYL ALCOHOL,KG-LT,163.6,163.6,1.048,LT-1.048,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,210,3,5,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB009,29039940,Purchase,BENZYL CHLORIDE,KG-LT,127.81,127.81,1.101,LT-1.101,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,5,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB024,29051490,Purchase,BUTAN-2-OL,KG-LT,994.85,994.85,0.807,LT-0.807,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,200,3,5,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB040,29163200,Purchase,BENZOYL CHLORIDE,KG-LT,211.04,211.04,1.212,LT-1.212,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,5,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB042,29033920,Purchase,BROMOFORM,KG-LT,971.38,971.38,2.91,LT-2.910,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,100,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB044,29033920,Purchase,BROMO BENZENE,KG-LT,664.63,664.63,1.496,LT-1.496,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB050,29163120,Purchase,BENZYL BENZOATE,KG-LT,163.6,163.6,1.12,LT-1.120,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB052,34021200,Purchase,BENZALCONIUM CHLORIDE - 50%,KG-LT,142,142,0.985,LT-0.985,RM,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS",N,Stockable Product,20,"SGST@14, CGST@14 , IGST@28","SGST@14, CGST@14 , IGST@28",0,0,0,3,5,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB057,29094300,Purchase,2-BUTOXY ETHANOL (BUTYL CELLOSOLVE),KG-LT,188.86,188.86,0.901,LT-0.901,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,R2001,29094200,Purchase,2 -METHOXY ETHANOL,LT-KG,127.75,127.75,0.967,KG-0.967,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,50,200,3,5,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RA005,29141100,Purchase,ACETONE,LT-KG,59.13,59.13,0.792,KG-0.792,RM,ORGANIC CHEMICALS,N,Stockable Product,7,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,600,1200,3,10,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RA062,38220090,Purchase,AMMONIUM SULPHIDE YELLOW SOLUTION,LT-KG,148.92,148.92,1,KG-1.000,RM,MISCELLANEOUS CHEMICAL PRODUCTS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,100,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RA069,29159010,Purchase,ACETYL CHLORIDE,LT-KG,141.1,141.1,1.105,KG-1.105,RM,ORGANIC CHEMICALS,N,Stockable Product,25,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,25,50,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB006,29022000,Purchase,BENZENE,LT-KG,64.91,64.91,0.879,KG-0.879,RM,ORGANIC CHEMICALS,Y,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,100,200,3,10,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB020,28013020,Purchase,BROMINE,LT-KG,10725,10725,3.12,KG-3.120,RM,INORGANIC CHEMICALS,N,Stockable Product,7,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0.5,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RB074,29121300,Purchase,n-BUTYRALDEHYDE-99%,LT-KG,1224,1224,0.804,KG-0.804,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RC019,38059090,Purchase,CEDAR WOOD OIL,LT-KG,2754,2754,0.95,KG-0.950,RM,MISCELLANEOUS CHEMICAL PRODUCTS,N,Stockable Product,15,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,25,20,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RC061,33012918,Purchase,CINNAMON OIL,LT-KG,2581.42,2581.42,1.056,KG-1.056,RM,ESSENTIAL OILS & RESINOIDES,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,1,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RC064,29071220,Purchase,CRESOL [MIXED],LT-KG,0,0,1.04,KG-1.040,RM,ORGANIC CHEMICALS,N,Stockable Product,15,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,0,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RC067,38220019,Purchase,CANADA BALSAM (SYNTHETIC),LT-KG,459,459,0.99,KG-0.990,RM,MISCELLANEOUS CHEMICAL PRODUCTS,N,Stockable Product,20,"SGST@6, CGST@6 , IGST@12","SGST@6, CGST@6 , IGST@12",0,0,25,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RD011,38220019,Purchase,DPX MOUNTANT,LT-KG,377.4,377.4,0.925,KG-0.925,RM,MISCELLANEOUS CHEMICAL PRODUCTS,N,Stockable Product,20,"SGST@6, CGST@6 , IGST@12","SGST@6, CGST@6 , IGST@12",0,50,25,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RD039,29039229,Purchase,"1,3-DICHLORO BENZENE-98%",LT-KG,1050.7,1050.7,1.29,KG-1.290,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,5,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RD042,29173400,Purchase,DIOCTYLPHTHALATE-98%,LT-KG,80.69,80.69,0.985,KG-0.985,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RD047,29039120,Purchase,"1,2-DICHLOROBENZENE-99% (o-DICHLOROBENZENE)",LT-KG,223.95,223.95,1.307,KG-1.307,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RF019,29321200,Purchase,FURFURALDEHYDE (FURFURAL)-98%,LT-KG,411.75,411.75,1.16,KG-1.160,RM,ORGANIC CHEMICALS,N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,0,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RH004,27101212,Purchase,HEXANE / REDUCER SOLVEX,LT-KG,65.81,65.81,0.677,KG-0.677,RM,"MINERAL FUELS, MINERAL OILS & PRODUCTS OF THEIR DISTILLATIONS, WAXES",N,Stockable Product,20,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,200,400,3,20,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
NICE CHEMICALS PVT. LTD.,RH006,28061000,Purchase,HYDROCHLORIC ACID,LT-KG,26,26,1.18,KG-1.180,RM,INORGANIC CHEMICALS,N,Stockable Product,7,"SGST@9, CGST@9 , IGST@18","SGST@9, CGST@9 , IGST@18",0,0,100,3,1,321-Raw Material-Store,Real Time (automated),110701 Stock Input,110702 Stock Output ,200000 Product Sales, 220000 Expenses,real,0,1,sellable
