Invoice No,Sale Order,Ref Doc,Name,Invoice Date,Product,Qty,Discount,Additional Discount,Scheme Discount,Taxes,Tax Desc,Unit Price,Sub Total,Total
SAJ-321-B-04982,SO05201,321FS\OUT\07406,9300110,17-02-2018,S42005,10,48,0,0,18,Inter,1602,8330.4,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,I40656,100,48,0,15,12,Inter,194,8574.8,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,P12129,60,48,0,15,18,Inter,602,15965.04,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,S51279,24,48,0,0,12,Inter,1900,23712,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05087,321FS\OUT\07408,9300110,17-02-2018,H70930,8,48,0,0,18,Inter,219,911.04,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,X10337,52,48,0,15,18,Inter,1028,23627.55,428110.44
,,,,,,,,,,,,,,
SAJ-321-B-04982,SO05277,321FS\OUT\07399,9300110,17-02-2018,E12129,3,48,0,0,18,Inter,325,507,428110.44
